Date	Well	Sample	Fraction	Rate	P-value	R2
7-13-09	B5	16	PR	27.76	5.79E-148	0.983
7-13-09	B6	99	PR	5.37	3.07E-28	0.520
7-13-09	C1	3	BR	15.72	1.84E-85	0.902
7-13-09	C2	4	BR	18.88	1.03E-162	0.988
7-13-09	C3	5	BR	15.81	2.04E-132	0.973
7-13-09	C4	7	BR	32.96	1.71E-149	0.983
7-13-09	C5	8	BR	30.46	1.11E-132	0.973
7-13-09	C6	9	BR	16.34	3.48E-142	0.980
7-13-09	D1	10	BR	24.78	5.90E-186	0.994
7-13-09	D2	13	BR	17.01	5.66E-153	0.985
7-13-09	D3	14	BR	14.30	1.19E-142	0.980
7-13-09	D4	15	BR	4.02	1.15E-58	0.793
7-13-09	D5	16	BR	22.82	8.12E-123	0.965
7-13-09	D6	99	BR	-1.45	1.80E-14	0.299
7-15-09	A1	3	PR	45.87	5.57E-158	0.987
7-15-09	A2	4	PR	32.11	3.02E-199	0.996
7-15-09	A3	5	PR	40.04	5.18E-208	0.997
7-15-09	A4	7	PR	65.71	6.89E-165	0.989
7-15-09	A5	8	PR	7.80	4.98E-117	0.959
7-15-09	A6	9	PR	52.53	7.81E-176	0.992
7-15-09	B1	10	PR	27.55	1.47E-184	0.994
7-15-09	B2	13	PR	35.05	7.73E-182	0.993
7-15-09	B3	14	PR	37.18	3.81E-149	0.983
7-15-09	B4	15	PR	12.36	2.11E-73	0.862
7-15-09	B5	16	PR	25.80	1.02E-166	0.990
7-15-09	B6	99	PR	-1.01	2.34E-13	0.277
7-15-09	C1	3	BR	23.14	2.87E-175	0.992
7-15-09	C2	4	BR	16.51	2.60E-140	0.978
7-15-09	C3	5	BR	29.02	6.55E-165	0.989
7-15-09	C4	7	BR	24.10	2.63E-147	0.982
7-15-09	C5	8	BR	27.91	5.81E-149	0.983
7-15-09	C6	9	BR	35.56	2.19E-112	0.953
7-15-09	D1	10	BR	25.17	3.11E-205	0.996
7-15-09	D2	13	BR	44.36	1.07E-167	0.990
7-15-09	D3	14	BR	26.89	1.03E-172	0.991
7-15-09	D4	15	BR	22.33	1.74E-178	0.993
7-15-09	D5	16	BR	15.67	5.34E-120	0.962
7-15-09	D6	99	BR	-0.75	9.41E-07	0.135
7-17-09	A1	3	PR	8.47	2.36E-59	0.799
7-17-09	A2	4	PR	16.38	3.26E-143	0.981
7-17-09	A3	5	PR	28.86	3.43E-207	0.997
7-17-09	A4	7	PR	89.57	1.10E-64	0.827
7-17-09	A5	8	PR	22.46	3.31E-174	0.992
7-17-09	A6	9	PR	56.74	1.29E-164	0.989
7-17-09	B1	10	PR	40.03	6.03E-187	0.994
7-17-09	B2	13	PR	31.38	2.10E-57	0.788
7-17-09	B3	14	PR	38.22	4.43E-166	0.990
