Date	Pond	Total/Dissolved	Analyte	Concentration (ppm)
8/26/09	14	Dissolved	NPOC	23.25
8/26/09	15	Dissolved	NPOC	18.13
8/26/09	16	Dissolved	NPOC	28.41
8/28/09	3	Dissolved	NPOC	14.37
8/28/09	4	Dissolved	NPOC	17.10
8/28/09	5	Dissolved	NPOC	9.44
8/28/09	7	Dissolved	NPOC	27.32
8/28/09	8	Dissolved	NPOC	17.13
8/28/09	9	Dissolved	NPOC	12.64
8/28/09	10	Dissolved	NPOC	9.20
8/28/09	13	Dissolved	NPOC	27.77
8/28/09	14	Dissolved	NPOC	31.22
8/28/09	15	Dissolved	NPOC	18.68
8/28/09	16	Dissolved	NPOC	25.32
8/31/09	3	Dissolved	NPOC	16.89
8/31/09	4	Dissolved	NPOC	16.02
8/31/09	5	Dissolved	NPOC	9.08
8/31/09	7	Dissolved	NPOC	19.76
8/31/09	8	Dissolved	NPOC	17.95
8/31/09	9	Dissolved	NPOC	9.71
8/31/09	10	Dissolved	NPOC	9.12
8/31/09	13	Dissolved	NPOC	26.40
8/31/09	14	Dissolved	NPOC	31.56
8/31/09	15	Dissolved	NPOC	19.90
8/31/09	16	Dissolved	NPOC	23.13
9/2/09	3	Dissolved	NPOC	10.50
9/2/09	4	Dissolved	NPOC	16.52
9/2/09	5	Dissolved	NPOC	9.87
9/2/09	7	Dissolved	NPOC	19.70
9/2/09	8	Dissolved	NPOC	19.57
9/2/09	9	Dissolved	NPOC	13.92
9/2/09	10	Dissolved	NPOC	12.25
9/2/09	13	Dissolved	NPOC	27.98
9/2/09	14	Dissolved	NPOC	30.67
9/2/09	15	Dissolved	NPOC	14.24
9/2/09	16	Dissolved	NPOC	23.76
9/4/09	3	Dissolved	NPOC	13.31
9/4/09	4	Dissolved	NPOC	11.88
9/4/09	5	Dissolved	NPOC	6.82
9/4/09	7	Dissolved	NPOC	22.49
9/4/09	8	Dissolved	NPOC	15.78
9/4/09	9	Dissolved	NPOC	11.40
9/4/09	10	Dissolved	NPOC	10.05
9/4/09	13	Dissolved	NPOC	22.29
9/4/09	14	Dissolved	NPOC	25.85
9/4/09	15	Dissolved	NPOC	18.52
9/4/09	16	Dissolved	NPOC	18.85
9/7/09	3	Dissolved	NPOC	16.58
9/7/09	4	Dissolved	NPOC	18.90
9/7/09	5	Dissolved	NPOC	7.06
9/7/09	7	Dissolved	NPOC	20.92
9/7/09	8	Dissolved	NPOC	19.17
9/7/09	9	Dissolved	NPOC	14.78
9/7/09	10	Dissolved	NPOC	12.85
9/7/09	13	Dissolved	NPOC	28.31
9/7/09	14	Dissolved	NPOC	30.22
9/7/09	15	Dissolved	NPOC	19.00
9/7/09	16	Dissolved	NPOC	26.69
9/9/09	3	Dissolved	NPOC	15.55
9/9/09	4	Dissolved	NPOC	17.90
9/9/09	5	Dissolved	NPOC	10.18
9/9/09	7	Dissolved	NPOC	29.00
9/9/09	8	Dissolved	NPOC	17.92
9/9/09	9	Dissolved	NPOC	14.60
9/9/09	10	Dissolved	NPOC	12.55
9/9/09	13	Dissolved	NPOC	23.09
9/9/09	14	Dissolved	NPOC	27.66
9/9/09	15	Dissolved	NPOC	16.11
9/9/09	16	Dissolved	NPOC	21.69
9/11/09	3	Dissolved	NPOC	15.98
9/11/09	4	Dissolved	NPOC	18.54
9/11/09	5	Dissolved	NPOC	9.98
9/11/09	7	Dissolved	NPOC	23.30
9/11/09	8	Dissolved	NPOC	17.89
9/11/09	9	Dissolved	NPOC	10.82
9/11/09	10	Dissolved	NPOC	9.35
9/11/09	13	Dissolved	NPOC	29.22
9/11/09	14	Dissolved	NPOC	33.58
9/11/09	15	Dissolved	NPOC	19.49
9/11/09	16	Dissolved	NPOC	27.49
9/14/09	3	Dissolved	NPOC	13.25
9/14/09	4	Dissolved	NPOC	15.08
9/14/09	5	Dissolved	NPOC	7.95
9/14/09	7	Dissolved	NPOC	24.46
